timestamp,date,global_btc_dominance,global_eth_dominance,global_defi_volume_24h,global_defi_market_cap,global_stablecoin_volume_24h,global_stablecoin_market_cap,global_derivatives_volume_24h
2026-04-21 03:25:27.940031,2026-04-21,59.499051065408,10.927283370895,12580127859.10289,61348180806.33125,184064615263.3991,292572841869.1434,735250799119.6052
2026-04-22 03:23:43.529440,2026-04-22,59.706175752087,10.989006987668,12531134204.65493,62233421781.47151,175678313977.90677,292150287071.7726,811845926816.5039
2026-05-05 15:02:03.057800,2026-05-05,60.72666947034,10.772717869377,10109070040.670555,62125881607.58268,202009896633.4231,292784199608.12384,866672759023.1926
2026-05-06 03:44:18.000177,2026-05-06,60.564056585436,10.632605346347,9588698466.786083,64124700558.673805,196768143045.4926,293175628197.7689,772021020842.7568
2026-05-07 03:43:05.027497,2026-05-07,60.488564065323,10.451351963649,10938839946.28157,63424288809.77537,187627090174.8275,293499619623.56134,906247373248.5098
2026-05-08 03:36:37.393872,2026-05-08,60.243586623671,10.397847723896,124144727519.9823,64018653808.76365,411670704630.3453,293594389813.8654,787875242325.5109
2026-05-09 03:36:58.753028,2026-05-09,59.936773091915,10.401892142302,9763934958.147057,66985102639.21181,95560947823.25844,293281294264.0529,675748320622.1869
2026-05-10 03:53:13.714549,2026-05-10,60.194296470625,10.452565812515,7081518320.346062,65602445614.89492,59192849598.7679,293239612575.95874,447419455138.3648
2026-05-11 04:03:58.099571,2026-05-11,60.073742861726,10.445249314503,10839281281.402727,66108176219.608665,93971250279.41743,293195076918.9513,741635960156.3931
2026-05-12 03:47:51.083520,2026-05-12,60.156014318062,10.326066167563,9347120101.533854,65792282113.32292,86934461622.28546,293703997256.90594,706618290762.9867
2026-05-13 03:56:24.165804,2026-05-13,60.155902863469,10.27146162035,9391532970.39264,65644945531.86748,86160843899.4372,293418307551.1562,734788118098.08
